pl_controv_flag,pl_name,hostname,pl_letter,sy_snum,discoverymethod,disc_year,pl_radj,pl_massj,st_spectype,st_rad,st_mass,st_met,st_lum,st_teff,st_rad.1
0,Kepler-1167 b,Kepler-1167,b,1,Transit,2016,0.15255598,,,0.75,0.79,-0.05,-0.53589,4971.0,0.75
0,Kepler-1740 b,Kepler-1740,b,1,Transit,2021,0.29647782,,,0.905,0.943,-0.06,-0.07942,5705.0,0.905
0,Kepler-1581 b,Kepler-1581,b,1,Transit,2016,0.07137122,,,1.23,1.12,0.07,0.39085,6022.0,1.23
0,Kepler-644 b,Kepler-644,b,1,Transit,2016,0.28102418,,,1.81,1.49,0.08,0.71041,6747.0,1.81
0,Kepler-1752 b,Kepler-1752,b,1,Transit,2021,0.40508631,,,0.821,0.824,-0.2,-0.39819,5446.0,0.821
0,Kepler-280 c,Kepler-280,c,1,Transit,2014,0.179,,,0.886,0.962,0.1213,-0.06437,5744.0,0.886
0,Kepler-1208 b,Kepler-1208,b,1,Transit,2016,0.20697654,,,0.76,0.8,-0.03,-0.55349,5001.0,0.76
0,Kepler-263 c,Kepler-263,c,1,Transit,2014,0.22,,,0.785,0.793,-0.0314,-0.45614,5265.0,0.785
0,HD 136352 b,HD 136352,b,1,Radial Velocity,2019,0.14845239,0.0148507807862499,G4 V,1.058,0.87,-0.24,0.0162,5664.0,1.058
0,Kepler-1101 b,Kepler-1101,b,1,Transit,2016,0.22035864,,,0.91,0.94,-0.04,-0.35135,5614.0,0.91
0,HD 168746 b,HD 168746,b,1,Radial Velocity,2002,0.993,,G5,1.09,1.07,-0.08,0.04139,5570.0,1.09
0,HAT-P-7 b,HAT-P-7,b,2,Transit,2008,1.51,1.84,,2.0,1.56,0.26,0.8142,6389.0,2.0
0,Kepler-560 b,Kepler-560,b,2,Transit,2016,0.15344812,,,0.33,0.34,-0.39,-1.717,3556.0,0.33
0,Kepler-150 d,Kepler-150,d,1,Transit,2014,0.249,,,0.939,0.956,0.12,-0.16141,5560.0,0.939
0,Kepler-498 b,Kepler-498,b,1,Transit,2016,0.27031849,,,0.96,0.98,-0.04,0.17242,5744.0,0.96
0,Kepler-817 b,Kepler-817,b,1,Transit,2016,0.80560264,,,1.03,1.03,0.02,0.08609,5861.0,1.03
0,Kepler-937 b,Kepler-937,b,1,Transit,2016,0.33187617,,,1.22,1.15,0.08,0.28097,6095.0,1.22
0,K2-10 b,K2-10,b,1,Transit,2015,0.33660509,0.0792880669096391,F9,0.956,0.88,-0.07,-0.10088,5533.0,0.956
0,Kepler-571 b,Kepler-571,b,1,Transit,2016,0.23552502,,,0.9,0.93,0.01,-0.22253,5527.0,0.9
0,Kepler-1458 b,Kepler-1458,b,1,Transit,2016,0.24623071,,,0.94,0.96,0.02,-0.24032,5653.0,0.94
0,K2-335 b,K2-335,b,1,Transit,2021,0.19716333,,,1.33,1.23,0.1,0.39509,6222.0,1.33
0,Kepler-1600 c,Kepler-1600,c,1,Transit,2021,0.17325974,,,0.834,0.818,0.1,-0.33945,5119.0,0.834
0,HIP 41378 f,HIP 41378,f,1,Transit,2016,0.82077044,0.0377562223379234,F6,1.273,1.16,-0.1,0.39646,6320.0,1.273
